time,hour,minute,second,day_sec,light,interval,treatment,fragment
10:20:48,10,20,48,37248,138,1,33,F3
10:20:49,10,20,49,37249,138,1,33,F3
10:20:50,10,20,50,37250,138,1,33,F3
10:20:51,10,20,51,37251,138,1,33,F3
10:20:52,10,20,52,37252,138,1,33,F3
10:20:53,10,20,53,37253,138,1,33,F3
10:20:54,10,20,54,37254,138,1,33,F3
10:20:55,10,20,55,37255,138,1,33,F3
10:20:56,10,20,56,37256,138,1,33,F3
10:20:57,10,20,57,37257,138,1,33,F3
10:20:58,10,20,58,37258,138,1,33,F3
10:20:59,10,20,59,37259,138,1,33,F3
10:21:00,10,21,0,37260,138,1,33,F3
10:21:01,10,21,1,37261,138,1,33,F3
10:21:02,10,21,2,37262,138,1,33,F3
10:21:03,10,21,3,37263,138,1,33,F3
10:21:04,10,21,4,37264,138,1,33,F3
10:21:05,10,21,5,37265,138,1,33,F3
10:21:06,10,21,6,37266,138,1,33,F3
10:21:07,10,21,7,37267,138,1,33,F3
10:21:08,10,21,8,37268,138,1,33,F3
10:21:09,10,21,9,37269,138,1,33,F3
10:21:10,10,21,10,37270,138,1,33,F3
10:21:11,10,21,11,37271,138,1,33,F3
10:21:12,10,21,12,37272,138,1,33,F3
10:21:13,10,21,13,37273,138,1,33,F3
10:21:14,10,21,14,37274,138,1,33,F3
10:21:15,10,21,15,37275,138,1,33,F3
10:21:16,10,21,16,37276,138,1,33,F3
10:21:17,10,21,17,37277,138,1,33,F3
10:21:18,10,21,18,37278,138,1,33,F3
10:21:19,10,21,19,37279,138,1,33,F3
10:21:20,10,21,20,37280,138,1,33,F3
10:21:21,10,21,21,37281,138,1,33,F3
10:21:22,10,21,22,37282,138,1,33,F3
10:21:23,10,21,23,37283,138,1,33,F3
10:21:24,10,21,24,37284,138,1,33,F3
10:21:25,10,21,25,37285,138,1,33,F3
10:21:26,10,21,26,37286,138,1,33,F3
10:21:27,10,21,27,37287,138,1,33,F3
10:21:28,10,21,28,37288,138,1,33,F3
10:21:29,10,21,29,37289,138,1,33,F3
10:21:30,10,21,30,37290,138,1,33,F3
10:21:31,10,21,31,37291,138,1,33,F3
